Claude3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kernel,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
example,0.486111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,0.794788274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,0.658496732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,INF,INIT,faulty_indexing,illegal_comment,illegal_separation,missing_colons,unclosed_parentheses,unclosed_string,undefined_methods,undefined_objects,MLU,SHFT,condition_error,ZERO,misused_equal,operation_error,Dynamic_Data_Structures,OOB,Pointer,Top_Function_Not_Found,Unsupported_Data_Types,illegal_keywords,,,,,,,,,,,,,,,,,
advanced3_adv_fsm,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSYNTH (Source synthesis failed),PASS,PASS,N/A,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,
advanced4_advshift,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,
basic1_wire_assign,PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,N/A,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,
basic2_and_gate,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,
basic3_priority_encoder,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,
basic4_mux,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,N/A,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,
intermediate1_half_adder,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,
intermediate2_counter,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS,CSIM (Inconsistent simulation result),PASS,N/A,PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,,,,,,,,,,,,,,,,,
intermediate3_lfsr,PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),N/A,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,
intermediate4_simple_fsm,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,N/A,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,,,,,,,,,,,,,,,,,
intermediate5_left_rotate,PASS,PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,
intermediate6_ram,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,
intermediate7_truthtable,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,N/A,N/A,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,
using_axi_lite_example,CSIM (Inconsistent simulation result),N/A,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),N/A,CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,,,,,,,,,,,,,,,,,
interface_array_fft_top,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSYNTH (Source synthesis failed),PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,APT,DFP,DID,FND,HFM,MLL,MLP,PUC,TMB,UNP,URM,UUI,,,,,,,,,,,,,,,,,,,,,,,,,,,
3mm_3mm,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (None),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,N/A,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
atax_atax,N/A,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,N/A,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicg_bicg,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),N/A,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
covariance_covariance,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemm_gemm,PASS,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,N/A,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesummv_gesummv,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat-3d_heat-3d,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,PASS,CSIM (Compilation error),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
mvt_mvt,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSIM (Compilation error),PASS,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
