GPT4o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kernel,0.455555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
example,0.490740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,0.791530945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,0.638888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,INF,INIT,faulty_indexing,illegal_comment,illegal_separation,missing_colons,unclosed_parentheses,unclosed_string,undefined_methods,undefined_objects,MLU,SHFT,ZERO,misused_equal,operation_error,condition_error,Dynamic_Data_Structures,OOB,Pointer,Top_Function_Not_Found,Unsupported_Data_Types,illegal_keywords,,,,,,,,,,,,,,,,,,,,,
advanced3_adv_fsm,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,,,,,
advanced4_advshift,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,
basic1_wire_assign,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,N/A,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,,,,,
basic2_and_gate,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,,,,,
basic3_priority_encoder,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,
basic4_mux,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,N/A,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,,,,,
intermediate1_half_adder,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,,,,,
intermediate2_counter,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,N/A,PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,,,,,,,,,,,,,,,,,,,,,
intermediate3_lfsr,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),N/A,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,,,,,,,,,,,,,,,,,,,,,
intermediate4_simple_fsm,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,N/A,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,,,,,
intermediate5_left_rotate,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,N/A,PASS,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,,,,,
intermediate6_ram,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,,,,,
intermediate7_truthtable,PASS,PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,N/A,N/A,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,,,,,
using_axi_lite_example,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,,,,,,,,,,,,,,,,,,,,,
interface_array_fft_top,PASS,PASS,PASS,PASS,PASS,PASS,PASS,COSIM (Inconsistent C/RTL simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Compilation error),PASS,PASS,PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,APT,DFP,DID,FND,HFM,MLL,MLP,PUC,TMB,UNP,URM,UUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3mm_3mm,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSIM (Compilation error),CSYNTH (Synthesis time-out),PASS,PASS,PASS,N/A,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atax_atax,N/A,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSYNTH (None),CSYNTH (None),CSIM (None),PASS,PASS,N/A,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicg_bicg,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,CSIM (Compilation error),PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
covariance_covariance,CSIM (Compilation error),CSYNTH (Code Pre-synthesis failed),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,CSYNTH (Synthesis time-out),PASS,PASS,CSIM (Compilation error),N/A,CSIM (Compilation error),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemm_gemm,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSIM (Compilation error),CSYNTH (Synthesis time-out),PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),N/A,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesummv_gesummv,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSIM (Compilation error),CSYNTH (Synthesis time-out),PASS,CSIM (Compilation error),CSIM (Compilation error),CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat-3d_heat-3d,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,CSYNTH (None),CSIM (Compilation error),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mvt_mvt,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSIM (Compilation error),PASS,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
